date,Abruzzo,Basilicata,Bolzano,Calabria,Campania,EmiliaRomagna,FriuliVeneziaGiulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Trento,Umbria,ValledAosta,Veneto
24-Feb-2020,0,0,0,0,0,12,0,2,0,95,0,0,2,0,0,0,0,0,0,0,16
25-Feb-2020,0,0,1,0,0,17,0,2,1,104,0,0,2,0,0,1,2,0,0,0,19
26-Feb-2020,0,0,1,0,0,23,0,0,6,104,1,0,2,0,0,1,2,0,0,0,24
27-Feb-2020,1,0,1,0,2,42,0,0,9,213,3,0,2,1,0,1,2,0,0,0,27
28-Feb-2020,1,0,1,0,2,62,0,0,9,282,5,0,7,1,0,1,5,0,0,0,33
29-Feb-2020,2,0,1,0,3,97,0,3,5,336,8,0,7,1,0,1,7,0,0,0,35
01-Mar-2020,3,0,1,0,4,140,0,3,13,512,17,0,13,1,0,1,7,0,0,0,64
02-Mar-2020,3,0,1,0,4,164,0,3,13,605,23,0,14,2,0,2,7,0,0,0,67
03-Mar-2020,5,0,1,0,11,211,1,10,14,865,40,3,16,2,1,2,10,1,2,0,68
04-Mar-2020,7,0,1,0,11,282,3,18,13,1086,49,3,39,4,1,5,17,1,2,0,99
05-Mar-2020,8,0,1,1,12,359,4,27,14,1413,76,4,60,6,2,5,29,2,2,0,116
06-Mar-2020,9,1,4,2,12,450,4,34,17,1931,93,5,87,6,2,7,40,4,4,0,144
07-Mar-2020,11,1,8,2,16,528,8,51,32,2020,130,5,148,11,2,8,61,7,4,1,164
08-Mar-2020,14,2,8,5,37,617,8,55,50,2616,151,6,290,20,5,18,98,9,4,1,193
09-Mar-2020,25,2,8,8,50,666,19,63,77,3242,183,6,272,26,8,19,116,12,6,4,237
10-Mar-2020,26,2,18,10,41,767,33,65,86,3785,206,6,372,34,9,19,131,22,10,2,271
11-Mar-2020,26,2,12,12,67,849,21,85,108,4412,278,7,394,42,10,24,141,32,12,2,330
12-Mar-2020,59,2,25,16,67,926,33,105,136,4852,330,7,465,60,12,33,159,48,16,7,445
13-Mar-2020,56,2,25,21,79,1070,67,146,172,5085,422,8,691,79,12,44,211,64,21,6,473
14-Mar-2020,65,2,33,26,89,1228,78,206,275,5630,542,8,688,97,14,53,247,80,32,12,485
15-Mar-2020,100,2,54,38,95,1384,110,254,319,6267,619,7,897,122,16,71,282,92,38,13,555
16-Mar-2020,108,3,64,43,125,1559,115,298,328,6994,638,8,1231,122,39,95,282,92,45,33,654
17-Mar-2020,126,7,82,55,151,1789,125,358,384,7832,708,12,1584,169,40,114,472,129,57,41,719
18-Mar-2020,140,11,97,56,151,2031,155,418,501,8209,757,13,2007,186,49,129,587,163,75,44,841
19-Mar-2020,228,13,105,73,249,2160,163,471,603,8393,797,25,2536,204,52,179,679,199,90,56,980
20-Mar-2020,238,13,123,87,171,2350,175,584,694,8785,842,26,1821,222,71,210,790,232,99,63,1079
21-Mar-2020,229,19,157,89,320,2532,189,661,727,9351,883,27,2277,242,81,254,866,272,121,77,1191
22-Mar-2020,267,23,178,94,342,2698,210,750,868,10581,954,31,2426,289,83,275,921,281,132,84,1368
23-Mar-2020,280,27,178,102,376,3122,226,814,894,10449,1030,32,2537,330,94,310,1076,295,148,89,1487
24-Mar-2020,291,26,204,109,526,3265,244,841,950,10905,1011,34,2764,374,99,310,1162,357,148,91,1622
25-Mar-2020,307,34,230,116,441,3474,252,906,1074,11262,1086,33,2925,413,101,339,1250,373,167,95,1723
26-Mar-2020,344,38,266,124,562,3655,266,991,1152,11944,1143,35,3041,556,112,414,1296,366,190,97,1773
27-Mar-2020,360,37,294,125,569,3769,279,1118,1180,12429,1141,35,3283,612,112,500,1327,407,195,115,1874
28-Mar-2020,381,45,276,129,595,4011,282,1118,1198,12471,1153,35,3533,661,117,512,1370,423,203,116,1903
29-Mar-2020,397,50,290,143,611,4102,296,1195,1243,12941,1168,34,3428,658,128,522,1386,431,212,116,1941
30-Mar-2020,391,54,293,148,594,4130,289,1233,1317,13145,1165,35,3437,696,137,559,1395,431,220,118,1989
31-Mar-2020,408,54,311,149,634,4118,275,1300,1332,13207,1115,37,3626,714,141,575,1413,434,219,117,2036
01-Apr-2020,413,54,326,160,607,4257,266,1308,1293,13269,1152,40,3599,744,146,568,1417,421,218,112,2068
02-Apr-2020,416,57,339,182,623,4310,259,1350,1292,13113,1150,38,3794,763,141,576,1430,417,218,110,2015
03-Apr-2020,437,60,351,200,647,4279,262,1382,1320,13183,1140,39,3752,771,146,608,1437,423,213,110,2049
04-Apr-2020,425,63,352,193,681,4217,233,1429,1290,13328,1150,37,3891,780,147,627,1415,434,211,86,2015
05-Apr-2020,414,64,292,187,717,4214,235,1432,1291,13326,1138,39,3916,733,151,632,1387,432,204,119,2003
06-Apr-2020,406,64,297,184,711,4176,235,1432,1303,13257,1141,39,3922,722,149,637,1395,433,205,130,2036
07-Apr-2020,404,64,389,183,706,4116,229,1421,1246,13138,1101,40,3985,708,148,635,1350,438,198,135,1876
08-Apr-2020,393,65,333,185,705,4130,203,1437,1262,12976,1107,34,3916,729,143,628,1326,431,196,140,1839
09-Apr-2020,363,67,327,183,698,4077,204,1442,1257,13032,1078,34,3926,716,131,629,1294,414,192,136,1804
10-Apr-2020,358,74,316,182,690,3945,200,1437,1227,13079,1052,32,3891,711,133,630,1267,405,185,147,1778
11-Apr-2020,369,72,302,184,667,3871,200,1467,1149,13200,1078,32,3819,700,137,620,1234,397,176,135,1716
12-Apr-2020,400,73,228,179,608,3826,188,1469,1176,13145,1063,31,3810,680,135,605,1221,383,168,125,1677
13-Apr-2020,405,76,231,172,686,3821,189,1514,1226,13171,1067,32,3723,671,134,605,1217,382,165,124,1672
14-Apr-2020,397,74,216,173,700,3801,194,1543,1100,13199,1043,30,3762,673,131,605,1227,379,164,126,1660
15-Apr-2020,385,72,198,167,693,3713,187,1538,1079,13117,994,31,3704,665,133,590,1193,360,159,123,1621
